scientificName,totalObs,researchGrade,needsID,propRG,,,
Danaus plexippus,69813,69618,195,0.997206824,,,
Phyciodes tharos,14244,12125,2119,0.851235608,,,
Papilio glaucus,21526,21137,389,0.98192883,,,
Pieris rapae,21276,19661,1615,0.924092875,,,
Epargyreus clarus,12207,12128,79,0.993528303,,,
Vanessa atalanta,26813,26762,51,0.998097938,,,
Junonia coenia,20905,20622,283,0.986462569,,,
Colias eurytheme,7352,6082,1270,0.827257889,,,
Papilio polyxenes,18424,18263,161,0.991261398,,,
Polygonia comma,4868,4490,378,0.922350041,,,
Speyeria cybele,5298,5020,278,0.947527369,,,
Limenitis archippus,6982,6944,38,0.994557433,,,
Poanes zabulon,4036,3713,323,0.919970268,,,
Ancyloxypha numitor,3053,2901,152,0.950212905,,,
Megisto cymela,3380,3362,18,0.994674556,,,
Polites peckius,4366,3872,494,0.886852955,,,
Polygonia interrogationis,7900,7549,351,0.95556962,,,
Erynnis baptisiae,2231,1630,601,0.730614074,,,
Limenitis arthemis astyanax,6609,6559,50,0.992434559,,,
Vanessa virginiensis,10233,10120,113,0.988957295,,,
Vanessa cardui,34430,34230,200,0.994191112,,,
Colias philodice,4173,3007,1166,0.720584711,,,
Cercyonis pegala,3864,3665,199,0.948498965,,,
Cupido comyntas,8141,7827,314,0.9614298,,,
Papilio troilus,6739,6651,88,0.986941683,,,
Atalopedes campestris,6693,5835,858,0.871806365,,,
Euptoieta claudia,8385,8305,80,0.990459153,,,
Eurytides marcellus,2487,2481,6,0.997587455,,,
Polites themistocles,1445,1027,418,0.710726644,,,
Pyrgus communis,3328,2557,771,0.768329327,,,
Asterocampa celtis,7225,7011,214,0.970380623,,,
Lerema accius,4255,3624,631,0.851703878,,,
Nastra lherminier,286,187,99,0.653846154,,,
Nymphalis antiopa,8467,8394,73,0.991378292,,,
Papilio cresphontes,6009,5636,373,0.937926444,,,
,,,,,,min,max
,377443,362995,,0.961721372,,0.653846154,0.998097938
